City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,port hedland,-20.3167,118.5667,22.03,46,21,4.63,AU,1724868404
267,hassi messaoud,31.6804,6.0729,36.36,19,0,3.5,DZ,1724868405
268,linden,6.0,-58.3,33.06,48,63,2.41,GY,1724868408
269,conception bay south,47.4999,-52.9981,23.91,71,44,7.83,CA,1724868409
270,kununurra,-15.7667,128.7333,20.99,60,49,2.06,AU,1724868268
271,atbasar,51.8,68.3333,14.23,67,19,1.25,KZ,1724868411
272,sho'rchi,38.0141,67.7899,26.69,18,0,5.15,UZ,1724868412
273,nemuro,43.3236,145.575,17.28,100,100,1.57,JP,1724868289
274,reggane,26.7158,0.1714,42.48,11,10,2.04,DZ,1724868416
275,constantia,44.1833,28.65,21.5,70,62,2.61,RO,1724868245
276,badger,64.8,-147.5333,11.93,85,40,1.54,US,1724868317
277,hithadhoo,-0.6,73.0833,28.47,76,97,4.65,MV,1724868420
278,chavusy,53.8075,30.9712,24.16,63,35,4.66,BY,1724868421
279,wajir,1.7471,40.0573,28.87,57,73,8.21,KE,1724868422
280,itaguacu,-19.8019,-40.8556,28.73,34,12,3.67,BR,1724868412
281,camacupa,-12.0167,17.4833,21.9,15,15,2.41,AO,1724868424
282,broken hill,-31.95,141.4333,9.19,67,0,2.93,AU,1724868426
283,barth,54.3635,12.7249,20.76,71,0,6.54,DE,1724868427
284,waycross,31.2136,-82.354,33.27,55,40,1.54,US,1724868428
285,zhenzhou,32.2692,119.1789,26.05,97,2,2.58,CN,1724868429
286,jackson,42.4165,-122.8345,21.7,52,0,0.45,US,1724868144
287,garagoa,5.0824,-73.3633,19.4,83,88,1.5,CO,1724868432
288,margaret river,-33.95,115.0667,16.77,93,100,12.34,AU,1724868433
289,mournies,35.4764,24.0092,38.04,78,0,2.57,GR,1724868434
290,cockburn town,21.4612,-71.1419,28.75,75,8,7.08,TC,1724868435
291,rawson,-43.3002,-65.1023,18.16,20,0,7.72,AR,1724868436
292,urangan,-25.3,152.9,20.1,88,1,6.11,AU,1724868437
293,salair,54.2312,85.7972,9.92,91,19,0.26,RU,1724868439
294,kuanda,56.3161,116.0806,11.16,75,87,0.42,RU,1724868440
295,fale old settlement,-9.3852,-171.2468,28.01,73,0,7.05,TK,1724868416
296,crucecita,-28.95,-58.9833,23.31,39,14,4.2,AR,1724868442
297,kingston,17.997,-76.7936,34.53,55,64,2.76,JM,1724868443
298,terenozek,45.05,64.9833,20.31,40,13,5.57,KZ,1724868445
299,roma,43.2128,-75.4557,25.21,78,83,0.89,US,1724868364
300,as sulayyil,20.4607,45.5779,37.64,10,57,4.25,SA,1724868447
301,krasnokamensk,50.0979,118.0369,16.73,43,100,1.48,RU,1724868448
302,barcelos,41.5388,-8.6151,20.56,83,98,3.04,PT,1724868449
303,klyuchi,52.2667,79.1667,14.32,78,24,0.96,RU,1724868451
304,asau,46.4333,26.4,21.21,55,87,2.71,RO,1724868452
305,kodinsk,58.6881,99.1844,8.8,92,86,0.66,RU,1724868453
306,nar'yan-mar,67.6713,53.087,10.81,83,76,8.47,RU,1724868454
307,taoudenni,22.6783,-3.9836,44.81,9,23,3.29,ML,1724868455
308,zaraza,9.3503,-65.3245,30.53,60,56,2.51,VE,1724868457
309,villa ocampo,-28.4875,-59.3551,23.5,39,30,3.67,AR,1724868458
310,walvis bay,-22.9575,14.5053,13.57,67,0,9.94,NA,1724868459
311,severo-yeniseyskiy,60.3725,93.0408,8.65,81,25,1.27,RU,1724868460
312,yuzhno-kurilsk,44.0306,145.8556,17.81,96,100,1.27,RU,1724868463
313,belfast,54.5833,-5.9333,17.99,70,40,3.6,GB,1724868231
314,waimea,20.0231,-155.6717,21.37,97,16,1.79,US,1724868465
315,itamaraca,-7.7478,-34.8256,26.22,68,68,6.42,BR,1724868466
316,altamont,42.2068,-121.7372,19.88,48,0,2.06,US,1724868469
317,luganville,-15.5333,167.1667,23.32,77,74,5.37,VU,1724868470
318,grand baie,-20.0182,57.5802,21.92,76,52,3.13,MU,1724868444
319,lompoc,34.6391,-120.4579,24.83,83,0,2.57,US,1724868377
320,miracema do tocantins,-9.5618,-48.3967,38.4,14,66,4.54,BR,1724868473
321,machico,32.7,-16.7667,25.35,61,40,2.57,PT,1724868474
322,nongstoin,25.5167,91.2667,20.19,97,73,0.7,IN,1724868476
323,callao,-12.0667,-77.15,17.16,72,100,3.09,PE,1724868475
324,conde,-7.2597,-34.9075,27.7,61,75,9.77,BR,1724868231
325,baskale,38.0453,44.0172,16.93,42,57,2.04,TR,1724868479
326,booue,-0.0921,11.9385,28.15,57,87,2.09,GA,1724868481
327,ponta delgada,37.7333,-25.6667,26.4,57,20,5.66,PT,1724868482
328,okondja,-0.6549,13.6753,29.85,47,87,2.16,GA,1724868483
329,yaita,36.8,139.9333,22.87,98,100,0.54,JP,1724868484
330,pundong,-7.9522,110.3486,22.27,93,100,0.24,ID,1724868485
331,mattoon,39.4831,-88.3728,25.97,78,75,3.09,US,1724868487
332,kuching,1.55,110.3333,24.12,98,40,3.6,MY,1724868488
333,arfoud,31.4348,-4.2375,39.02,10,2,4.72,MA,1724868489
334,ciudad acuna,29.3232,-100.9522,31.32,59,40,3.13,MX,1724868490
335,lihue,21.9789,-159.3672,26.77,74,0,4.63,US,1724868491
336,port blair,11.6667,92.75,27.28,81,100,10.0,IN,1724868493
337,katsuura,35.1333,140.3,26.07,86,100,3.21,JP,1724868494
338,mawlaik,23.6333,94.4167,24.29,92,23,0.18,MM,1724868495
339,northam,51.0333,-4.2167,17.01,88,47,5.73,GB,1724868496
340,al jawf,29.5,38.75,31.6,17,5,4.43,SA,1724868497
341,cafayate,-26.073,-65.9761,22.06,16,0,6.08,AR,1724868498
